CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00008C,Monash University (Monash),001447E,Bachelor of Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Bachelor Degree,No,No,,,,English,156,"$177,963.00",$0.00,"$177,963.00",No
00008C,Monash University (Monash),001461G,Master of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Masters Degree (Coursework),No,No,,,,English,104,"$123,394.00",$0.00,"$123,394.00",No
00008C,Monash University (Monash),001468M,Master of Reproductive Sciences,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$111,034.00",$0.00,"$111,034.00",No
00008C,Monash University (Monash),001469K,Master of Science (Research),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$112,270.00",$0.00,"$112,270.00",No
00008C,Monash University (Monash),001722B,Bachelor of Engineering (Honours),,No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",,,,Bachelor Honours Degree,No,Yes,40.00,12,480,English,208,"$260,727.00",$0.00,"$260,727.00",No
00008C,Monash University (Monash),003925G,Doctor of Philosophy (Faculty of Science),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$252,415.00",$0.00,"$252,415.00",No
00008C,Monash University (Monash),003968G,Bachelor of Science and Bachelor of Arts,,Yes,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$247,603.00",$0.00,"$247,603.00",No
00008C,Monash University (Monash),0100207,Graduate Certificate of International Sustainable Tourism Management,,No,08 - Management and Commerce,0807 - Tourism,080701 - Tourism,,,,Graduate Certificate,No,No,,,,English,26,"$24,500.00",$0.00,"$24,500.00",No
00008C,Monash University (Monash),0100208,Graduate Certificate of Strategic Communications Management,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$23,200.00",$0.00,"$23,200.00",No
00008C,Monash University (Monash),0100209,Graduate Certificate of Public Policy,,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,,,,Graduate Certificate,No,No,,,,English,26,"$23,000.00",$0.00,"$23,000.00",No
00008C,Monash University (Monash),0100210,Graduate Certificate of International Development Practice,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$23,000.00",$0.00,"$23,000.00",No
00008C,Monash University (Monash),0100211,Master of Regulation and Compliance,,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$123,394.00",$0.00,"$123,394.00",No
00008C,Monash University (Monash),0100364,Graduate Certificate of Journalism,,No,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,,,,Graduate Certificate,No,No,,,,English,26,"$23,000.00",$0.00,"$23,000.00",No
00008C,Monash University (Monash),0100405,"Bachelor of Politics, Philosophy and Economics",,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090101 - Political Science,,,,Bachelor Degree,No,No,,,,English,156,"$161,409.00",$0.00,"$161,409.00",No
00008C,Monash University (Monash),0100562,Master of Legal Studies,,No,09 - Society and Culture,0911 - Justice and Law Enforcement,091103 - Legal Studies,,,,Masters Degree (Coursework),No,No,,,,English,52,"$81,090.00",$0.00,"$81,090.00",No
00008C,Monash University (Monash),0100563,Master of Laws,,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$117,832.00",$0.00,"$117,832.00",No
00008C,Monash University (Monash),0100564,Master of Business Analytics,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$123,394.00",$0.00,"$123,394.00",No
00008C,Monash University (Monash),0100565,Master of Professional Engineering,,No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",,,,Masters Degree (Coursework),No,Yes,35.00,12,420,English,104,"$184,330.00",$0.00,"$184,330.00",No
00008C,Monash University (Monash),0100566,Master of Artificial Intelligence,,No,02 - Information Technology,0201 - Computer Science,020117 - Operating Systems,,,,Masters Degree (Coursework),No,No,,,,English,78,"$118,038.00",$0.00,"$118,038.00",No
00008C,Monash University (Monash),0100635,Bachelor of Radiation Sciences,,No,06 - Health,0615 - Radiography,061501 - Radiography,,,,Bachelor Degree,No,No,,,,English,156,"$146,764.00",$0.00,"$146,764.00",No
00008C,Monash University (Monash),0100636,Master of Cybersecurity,,No,02 - Information Technology,0299 - Other Information Technology,029901 - Security Science,,,,Masters Degree (Coursework),No,Yes,12.00,24,288,English,104,"$118,038.00",$0.00,"$118,038.00",No
00008C,Monash University (Monash),0100729,Master of Philosophy,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Masters Degree (Research),No,No,,,,English,104,"$117,420.00",$0.00,"$117,420.00",No
00008C,Monash University (Monash),0100913,Graduate Certificate of Australian Nursing Studies,,No,06 - Health,0603 - Nursing,060301 - General Nursing,,,,Graduate Certificate,No,Yes,40.00,6,240,English,26,"$19,400.00",$0.00,"$19,400.00",No
00008C,Monash University (Monash),0101138,Master of Strategic Communications Management (Double Masters with Shanghai Jiao Tong University),,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Masters Degree (Coursework),No,Yes,15.00,10,150,English,104,"$95,584.00",$0.00,"$95,584.00",No
00008C,Monash University (Monash),0101139,Master of Educational Leadership,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Masters Degree (Coursework),No,No,,,,English,104,"$90,228.00",$0.00,"$90,228.00",No
00008C,Monash University (Monash),0101140,Master of International Relations and Master of Journalism,,Yes,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,Masters Degree (Coursework),No,Yes,15.00,10,150,English,130,"$94,760.00",$0.00,"$94,760.00",No
00008C,Monash University (Monash),0101330,Master of Commerce,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$84,460.00",$0.00,"$84,460.00",No
00008C,Monash University (Monash),0101331,Bachelor of Arts and Bachelor of Criminology,,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",09 - Society and Culture,0999 - Other Society and Culture,099905 - Security Services,Bachelor Degree,No,No,,,,English,208,"$195,108.00",$0.00,"$195,108.00",No
00008C,Monash University (Monash),0101541,Bachelor of Medical Science and Doctor of Medicine,,No,06 - Health,0601 - Medical Studies,060101 - General Medicine,,,,Masters Degree (Coursework),No,Yes,35.00,170,"5,950",English,208,"$444,461.00",$0.00,"$444,461.00",No
00008C,Monash University (Monash),0101582,Doctor of Philosophy (Monash - Beihang),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,208,"$219,606.00",$0.00,"$219,606.00",No
00008C,Monash University (Monash),0101583,Doctor of Philosophy (Monash - SJTU),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,208,"$219,606.00",$0.00,"$219,606.00",No
00008C,Monash University (Monash),0101584,Doctor of Philosophy (Monash - Bath),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,208,"$219,606.00",$0.00,"$219,606.00",No
00008C,Monash University (Monash),0101585,Doctor of Philosophy (Monash - Bayreuth),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,208,"$260,727.00",$0.00,"$260,727.00",No
00008C,Monash University (Monash),0101615,Doctor of Philosophy (Beihang - Monash),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,52,$1.00,$0.00,$1.00,No
00008C,Monash University (Monash),0101616,Doctor of Philosophy (SJTU - Monash),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,52,$1.00,$0.00,$1.00,No
00008C,Monash University (Monash),0101617,Doctor of Philosophy (Bath - Monash),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,52,$1.00,$0.00,$1.00,No
00008C,Monash University (Monash),0101618,Doctor of Philosophy (Bayreuth - Monash),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,52,$1.00,$0.00,$1.00,No
00008C,Monash University (Monash),0101842,Bachelor of Paramedicine (Honours),,No,06 - Health,0699 - Other Health,069905 - Paramedical Studies,,,,Bachelor Honours Degree,No,No,,,,English,52,"$45,100.00",$0.00,"$45,100.00",No
00008C,Monash University (Monash),0101961,Bachelor of Fine Art and Bachelor of Media Communication,,Yes,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,10 - Creative Arts,1007 - Communication and Media Studies,"100700 - Communication and Media Studies, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$197,295.00",$0.00,"$197,295.00",No
00008C,Monash University (Monash),0101962,Master of Genome Analytics,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010909 - Genetics,,,,Masters Degree (Coursework),No,Yes,13.00,12,156,English,104,"$118,862.00",$0.00,"$118,862.00",No
00008C,Monash University (Monash),0101963,Master of Green and Sustainable Technologies,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Masters Degree (Coursework),No,Yes,13.00,12,156,English,104,"$118,862.00",$0.00,"$118,862.00",No
00008C,Monash University (Monash),0101964,Master of Project Leadership,,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Masters Degree (Coursework),No,No,,,,English,104,"$123,394.00",$0.00,"$123,394.00",No
00008C,Monash University (Monash),0101965,Doctor of Philosophy (Music),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Doctoral Degree,No,No,,,,English,208,"$201,232.00",$0.00,"$201,232.00",No
00008C,Monash University (Monash),013382G,Bachelor of Commerce,,No,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$177,963.00",$0.00,"$177,963.00",No
00008C,Monash University (Monash),013385D,Bachelor of Commerce and Bachelor of Arts,,Yes,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$244,541.00",$0.00,"$244,541.00",No
00008C,Monash University (Monash),013391F,Bachelor of Arts and Bachelor of Laws,,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,,,,English,260,"$288,641.00",$0.00,"$288,641.00",No
00008C,Monash University (Monash),017092G,Bachelor of Science,,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$180,192.00",$0.00,"$180,192.00",No
00008C,Monash University (Monash),017107E,Bachelor of Engineering (Honours) and Bachelor of Science,,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Honours Degree,No,Yes,40.00,12,480,English,260,"$335,971.00",$0.00,"$335,971.00",No
00008C,Monash University (Monash),017109C,Bachelor of Science and Bachelor of Laws,,Yes,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,,,,English,260,"$298,717.00",$0.00,"$298,717.00",No
00008C,Monash University (Monash),017113G,Bachelor of Music,,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Bachelor Degree,No,No,,,,English,156,"$125,752.00",$0.00,"$125,752.00",No
00008C,Monash University (Monash),019066D,Graduate Diploma in Reproductive Sciences,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$52,600.00",$0.00,"$52,600.00",No
00008C,Monash University (Monash),021276J,Bachelor of Commerce and Bachelor of Economics,,Yes,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Bachelor Degree,No,No,,,,English,208,"$244,541.00",$0.00,"$244,541.00",No
00008C,Monash University (Monash),026696D,Bachelor of Pharmacy,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Bachelor Degree,No,Yes,35.00,12,420,English,208,"$229,667.00",$0.00,"$229,667.00",No
00008C,Monash University (Monash),028805K,Bachelor of Biomedical Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Degree,No,No,,,,English,156,"$174,780.00",$0.00,"$174,780.00",No
00008C,Monash University (Monash),028955G,Master of Clinical Embryology,,No,06 - Health,0601 - Medical Studies,060107 - Obstetrics and Gynaecology,,,,Masters Degree (Coursework),No,No,,,,English,52,"$80,850.00",$0.00,"$80,850.00",No
00008C,Monash University (Monash),028957E,Master of Occupational and Environmental Health,,No,06 - Health,0613 - Public Health,061301 - Occupational Health and Safety,,,,Masters Degree (Coursework),No,No,,,,English,78,"$85,527.00",$0.00,"$85,527.00",No
00008C,Monash University (Monash),030489K,Bachelor of Science (Honours),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$56,600.00",$0.00,"$56,600.00",No
00008C,Monash University (Monash),030491E,Bachelor of Commerce and Bachelor of Music,,Yes,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$244,541.00",$0.00,"$244,541.00",No
00008C,Monash University (Monash),034885K,Master of Fine Art (by Research),,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,,,,Masters Degree (Research),No,No,,,,English,104,"$91,052.00",$0.00,"$91,052.00",No
00008C,Monash University (Monash),037828F,Bachelor of Engineering (Honours) and Bachelor of Arts,,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Honours Degree,No,Yes,40.00,12,480,English,286,"$335,971.00",$0.00,"$335,971.00",No
00008C,Monash University (Monash),037830A,Doctor of Philosophy (Faculty of Art & Design),,No,09 - Society and Culture,0917 - Philosophy and Religious Studies,091701 - Philosophy,,,,Doctoral Degree,No,No,,,,English,208,"$193,358.00",$0.00,"$193,358.00",No
00008C,Monash University (Monash),037831M,Doctor of Philosophy (Faculty of Arts),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$201,232.00",$0.00,"$201,232.00",No
00008C,Monash University (Monash),037832K,Doctor of Philosophy (Faculty of Business & Economics),,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Doctoral Degree,No,No,,,,English,208,"$179,359.00",$0.00,"$179,359.00",No
00008C,Monash University (Monash),037854D,Graduate Diploma of Occupational and Environmental Health,,No,06 - Health,0613 - Public Health,061301 - Occupational Health and Safety,,,,Graduate Diploma,No,No,,,,English,52,"$55,900.00",$0.00,"$55,900.00",No
00008C,Monash University (Monash),038571G,Master of Arts (by Research),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$94,760.00",$0.00,"$94,760.00",No
00008C,Monash University (Monash),038585A,Master of Educational and Developmental Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,,-1,,English,104,"$99,086.00",$0.00,"$99,086.00",No
00008C,Monash University (Monash),039974B,Bachelor of Engineering (Honours) and Bachelor of Design (Industrial Design),,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",10 - Creative Arts,1099 - Other Creative Arts,"109999 - Creative Arts, n.e.c.",Bachelor Honours Degree,No,No,,,,English,260,"$335,971.00",$0.00,"$335,971.00",No
00008C,Monash University (Monash),039990B,Master of Arts (by Research),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$91,052.00",$0.00,"$91,052.00",No
00008C,Monash University (Monash),039994J,Master of Biomedical Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Masters Degree (Research),No,No,,,,English,104,"$110,828.00",$0.00,"$110,828.00",No
00008C,Monash University (Monash),041042F,Doctor of Philosophy (Monash University Accident Research Centre),,No,09 - Society and Culture,0917 - Philosophy and Religious Studies,091701 - Philosophy,,,,Doctoral Degree,No,No,,,,English,208,"$241,916.00",$0.00,"$241,916.00",No
00008C,Monash University (Monash),041043E,Doctor of Philosophy (Faculty of Education),,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Doctoral Degree,No,No,,,,English,208,"$191,171.00",$0.00,"$191,171.00",No
00008C,Monash University (Monash),041044D,Doctor of Philosophy (Faculty of Engineering),,No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$260,727.00",$0.00,"$260,727.00",No
00008C,Monash University (Monash),041045C,Doctor of Philosophy (Faculty of Information Technology),,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$237,979.00",$0.00,"$237,979.00",No
00008C,Monash University (Monash),041046B,Doctor of Philosophy (Faculty of Law),,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$216,981.00",$0.00,"$216,981.00",No
00008C,Monash University (Monash),041047A,"Doctor of Philosophy (Faculty of Medicine, Nursing & Health Sciences) (Medicine)",,No,06 - Health,0601 - Medical Studies,"060100 - Medical Studies, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$235,354.00",$0.00,"$235,354.00",No
00008C,Monash University (Monash),041048M,Doctor of Philosophy (Faculty of Pharmacy),,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Doctoral Degree,No,No,,,,English,208,"$249,353.00",$0.00,"$249,353.00",No
00008C,Monash University (Monash),041059G,Master of Engineering Science (Research),,No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$122,776.00",$0.00,"$122,776.00",No
00008C,Monash University (Monash),041538D,Bachelor of Biomedical Science (Honours),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Honours Degree,No,No,,,,English,52,"$54,900.00",$0.00,"$54,900.00",No
00008C,Monash University (Monash),041539C,Bachelor of Arts and Bachelor of Music,,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Degree,No,No,,,,English,208,"$195,108.00",$0.00,"$195,108.00",No
00008C,Monash University (Monash),044094C,Master of Design (by Research),,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,,,,Masters Degree (Research),No,No,,,,English,104,"$91,052.00",$0.00,"$91,052.00",No
00008C,Monash University (Monash),045341G,Master of Philosophy (Faculty of Business & Economics),,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Masters Degree (Research),No,No,,,,English,104,"$84,460.00",$0.00,"$84,460.00",No
00008C,Monash University (Monash),046125G,Master of Philosophy (Faculty of Law),,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$102,176.00",$0.00,"$102,176.00",No
00008C,Monash University (Monash),046741E,Master of Philosophy (Faculty of Science),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$118,862.00",$0.00,"$118,862.00",No
00008C,Monash University (Monash),047818C,Master of Philosophy (Faculty of Medicine),,No,06 - Health,0601 - Medical Studies,060101 - General Medicine,,,,Masters Degree (Research),No,No,,,,English,104,"$110,828.00",$0.00,"$110,828.00",No
00008C,Monash University (Monash),049254G,Master of Surgery,,No,06 - Health,0601 - Medical Studies,060103 - Surgery,,,,Masters Degree (Research),No,No,,,,English,78,"$82,314.00",$0.00,"$82,314.00",No
00008C,Monash University (Monash),052603J,Bachelor of Aerospace Engineering (Honours),,No,03 - Engineering and Related Technologies,0315 - Aerospace Engineering and Technology,031501 - Aerospace Engineering,,,,Bachelor Honours Degree,No,No,,,,English,208,"$232,730.00",$0.00,"$232,730.00",No
00008C,Monash University (Monash),055711C,Bachelor of Psychology (Honours),,No,06 - Health,0601 - Medical Studies,060105 - Psychiatry,,,,Bachelor Honours Degree,No,No,,,,English,208,"$212,606.00",$0.00,"$212,606.00",No
00008C,Monash University (Monash),056079C,Bachelor of Science and Bachelor of Biomedical Science,,Yes,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Degree,No,No,,,,English,208,"$247,603.00",$0.00,"$247,603.00",No
00008C,Monash University (Monash),056414D,Bachelor of Business,,No,08 - Management and Commerce,0803 - Business and Management,"080300 - Business and Management, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$177,963.00",$0.00,"$177,963.00",No
00008C,Monash University (Monash),056482C,Bachelor of Engineering (Honours) and Bachelor of Biomedical Sciences,,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,Bachelor Honours Degree,No,Yes,36.00,12,432,English,260,"$335,971.00",$0.00,"$335,971.00",No
00008C,Monash University (Monash),058485F,Bachelor of Engineering (Honours) and Bachelor of Pharmaceutical Science,,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",06 - Health,0605 - Pharmacy,060501 - Pharmacy,Bachelor Honours Degree,No,Yes,37.50,12,450,English,260,"$335,971.00",$0.00,"$335,971.00",No
00008C,Monash University (Monash),058486E,Bachelor of Pharmaceutical Science,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Bachelor Degree,No,Yes,38.00,4,152,English,156,"$177,008.00",$0.00,"$177,008.00",No
00008C,Monash University (Monash),059372G,Bachelor of Architectural Design,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,,,,Bachelor Degree,No,No,,,,English,156,"$162,045.00",$0.00,"$162,045.00",No
00008C,Monash University (Monash),059818D,Master of Architecture,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,,,,Masters Degree (Coursework),No,No,,,,English,104,"$97,850.00",$0.00,"$97,850.00",No
00008C,Monash University (Monash),061236G,Doctor of Philosophy (IITB-Monash),,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$201,232.00",$0.00,"$201,232.00",No
00008C,Monash University (Monash),061848B,Doctor of Philosophy (IITB - Monash),,No,09 - Society and Culture,0917 - Philosophy and Religious Studies,091701 - Philosophy,,,,Doctoral Degree,No,No,,,,English,208,"$252,415.00",$0.00,"$252,415.00",No
00008C,Monash University (Monash),064804A,Bachelor of Physiotherapy (Honours),,No,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,,,,Bachelor Honours Degree,No,Yes,30.00,30,900,English,208,"$280,850.00",$0.00,"$280,850.00",No
00008C,Monash University (Monash),066769E,Doctor of Philosophy (IITB-Monash),,No,02 - Information Technology,0201 - Computer Science,"020199 - Computer Science, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$237,979.00",$0.00,"$237,979.00",No
00008C,Monash University (Monash),066967K,Doctor of Philosophy (IITB-Monash),,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010901 - Biochemistry and Cell Biology,,,,Doctoral Degree,No,No,,,,English,208,"$235,354.00",$0.00,"$235,354.00",No
00008C,Monash University (Monash),067729E,Bachelor of Fine Art (Honours),,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,,,,Bachelor Honours Degree,No,No,,,,English,52,"$42,700.00",$0.00,"$42,700.00",No
00008C,Monash University (Monash),067947F,Bachelor of Science (Medical Bioscience),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Degree,No,No,,,,English,156,"$180,192.00",$0.00,"$180,192.00",No
00008C,Monash University (Monash),068365J,Bachelor of Health Sciences,,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Bachelor Degree,No,Yes,8.00,24,192,English,156,"$143,580.00",$0.00,"$143,580.00",No
00008C,Monash University (Monash),068367G,Doctor of Philosophy (Dual Award)(Fudan University)(Engineering),,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$232,730.00",$0.00,"$232,730.00",No
00008C,Monash University (Monash),068372K,Bachelor of Health Science (Honours),,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$45,100.00",$0.00,"$45,100.00",No
00008C,Monash University (Monash),068373J,Master of Nursing Practice,,No,06 - Health,0603 - Nursing,060301 - General Nursing,,,,Masters Degree (Coursework),No,Yes,40.00,21,840,English,104,"$97,644.00",$0.00,"$97,644.00",No
