CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00026A,The University of Sydney,088318F,Master of Interaction Design and Electronic Arts (with specialisation),,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031305 - Computer Engineering,,,,Masters Degree (Coursework),No,No,,,,English,104,"$104,100.00","$1,501.60","$105,601.60",No
00026A,The University of Sydney,088746G,Graduate Diploma in Logistics and Supply Chain Management,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$46,275.00",$373.00,"$46,648.00",No
00026A,The University of Sydney,088747G,Master of Logistics and Supply Chain Management,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$77,600.00",$559.50,"$78,159.50",No
00026A,The University of Sydney,089436C,Bachelor of Pharmacy and Management,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Bachelor Degree,No,Yes,35.00,6,210,English,260,"$321,700.00","$2,251.80","$323,951.80",No
00026A,The University of Sydney,089810G,Master of Complex Systems,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030900 - Civil Engineering, n.f.d.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$117,500.00",$751.60,"$118,251.60",No
00026A,The University of Sydney,089811G,Graduate Diploma in Complex Systems,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030900 - Civil Engineering, n.f.d.",,,,Graduate Diploma,No,No,,,,English,52,"$57,900.00",$373.00,"$58,273.00",No
00026A,The University of Sydney,090281G,Bachelor of Education (Health and Physical Education),,No,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,,,,Bachelor Degree,No,Yes,35.00,16,560,English,208,"$253,500.00","$1,632.91","$255,132.91",No
00026A,The University of Sydney,090778D,Graduate Diploma in Moving Image,,No,10 - Creative Arts,1003 - Visual Arts and Crafts,"100399 - Visual Arts and Crafts, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$41,000.00",$329.00,"$41,329.00",No
00026A,The University of Sydney,090781J,Bachelor of Design in Architecture (Honours) and Master of Architecture,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,,,,Masters Degree (Coursework),No,No,,,,English,260,"$278,800.00","$6,921.80","$285,721.80",No
00026A,The University of Sydney,093678F,Graduate Diploma in Business Law,,No,09 - Society and Culture,0909 - Law,090901 - Business and Commercial Law,,,,Graduate Diploma,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,093741D,Bachelor of Arts and Bachelor of Advanced Studies,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$219,700.00","$1,525.91","$221,225.91",No
00026A,The University of Sydney,093742C,Bachelor of Economics and Bachelor of Advanced Studies,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Bachelor Degree,No,No,,,,English,208,"$235,500.00","$1,525.91","$237,025.91",No
00026A,The University of Sydney,093743B,Bachelor of Commerce and Bachelor of Advanced Studies,,No,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",,,,Bachelor Degree,No,No,,,,English,208,"$235,500.00","$1,525.91","$237,025.91",No
